Group,Site,Phylym_Class
A,"National Grasslands LBJ, Texas, USA",Actinobacteriota
B,"Toolik Field Station, Alaska, USA",Proteobacteria _Gamma
C,"Chase Lake Wetlands, North Dakota, USA",Proteobacteria _Alpha
D,"Wind River Experimental Forest, Washington, USA",Acidobacteriota
E,"Niwot Ridge, Colorado, USA",Verrucomicrobiota
F,"Lower Teakettle, Sierra National Forest, California, USA",Chloroflexota
G,"Caribou Creek Watershed, Alaska, USA",Myxococcota
H,"Konza Prairie Bio Station, Kansas, USA",Bacteroidota
I ,"Great Basin, Onaqui, Utah, USA",Methylomirabilota
J,"Guanica State Forest and Biosphere Reserve, Puerto Rico",Dormibacterota
K,"Yellowstone NP, Wyoming, USA",Gemmatimonadota
L,"Healy, Denali National Park, Alaska, USA",Planctomycetota
M,"Santa Rita Experimental Range, Tucson, Arizona, USA",Archaea
O,"Chase Lake Wetlands, North Dakota, USA",Actinobacteriota _Thermoleophilia
